Bank,Period,Metric,Value,Unit,Source Document,Page/Section,Extracted or Calculated,Verification Status,Notes
QNB,Q1 2026,Loans / Advances,282.3,USD bn,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted and standardized from source,Manual verification required,Draft only; High confidence; candidate score 98/100. Converted 282.3 USD bn to USD bn by dividing by USD/USD 1. Confirm against the cited source page.
QNB,Q1 2026,Customer Deposits,267.5,USD bn,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted and standardized from source,Manual verification required,Draft only; High confidence; candidate score 98/100. Converted 267.5 USD bn to USD bn by dividing by USD/USD 1. Confirm against the cited source page.
QNB,Q1 2026,Net Interest Margin,2.65,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 100/100.  Confirm against the cited source page.
QNB,Q1 2026,Cost-to-Income Ratio,24.1,%,QNB_Q1_2026_Investor_Presentation.pdf,p.16,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 100/100.  Confirm against the cited source page.
QNB,Q1 2026,NPL Ratio,2.7,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 100/100.  Confirm against the cited source page.
QNB,Q1 2026,Coverage Ratio,100.0,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 100/100.  Confirm against the cited source page.
QNB,Q1 2026,Liquidity Coverage Ratio,147.0,%,QNB_Q1_2026_Investor_Presentation.pdf,p.22,Extracted from source,Manual verification required,Draft only; Medium confidence; candidate score 73/100.  Confirm against the cited source page.
QNB,Q1 2026,Loan-to-Deposit Ratio,98.0,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 98/100.  Confirm against the cited source page.
QNB,Q1 2026,CET1 Ratio,15.2,%,QNB_Q1_2026_Financial_Results.pdf,p.16,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 92/100.  Confirm against the cited source page.
QNB,Q1 2026,Capital Adequacy Ratio,19.4,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 100/100.  Confirm against the cited source page.
QNB,Q1 2026,Loan Growth,8.0,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 98/100.  Confirm against the cited source page.
QNB,Q1 2026,Deposit Growth,5.0,%,QNB_Q1_2026_Investor_Presentation.pdf,p.11,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 98/100.  Confirm against the cited source page.
QNB,Q1 2026,Cost of Risk,78.0,bps,QNB_Q1_2026_Investor_Presentation.pdf,p.25,Extracted from source,Manual verification required,Draft only; High confidence; candidate score 88/100.  Confirm against the cited source page.
